assignee_organization,assignee_lastknown_state,assignee_lastknown_latitude,assignee_lastknown_longitude,assignee_total_num_patents,assignee_lastknown_city,count
Northern Illinois University,IL,41.9294,-88.7503,22,DeKalb,
"Relion, Inc.",WA,47.6589,-117.425,22,Spokane,
Seerstone LLC,UT,40.2339,-111.658,22,Provo,
"Norotos, Inc.",CA,33.7456,-117.867,22,Santa Ana,
Irwin Seating Company,MI,42.9633,-85.6681,22,Grand Rapids,
"Aloft Media, LLC",TX,32.5006,-94.7403,22,Longview,
"The Yankee Candle Company, Inc.",MA,42.4772,-72.6083,22,South Deerfield,
Bigelow Aerospace,NV,36.175,-115.136,22,Las Vegas,
"Gray Manufacturing Company, Inc.",MI,42.0939,-86.4895,22,St. Joseph,
Natus Medical Incorporated,CA,37.6625,-121.874,22,Pleasanton,
"Innovive, Inc.",CA,32.7153,-117.156,22,San Diego,
Coating Excellence International LLC,WI,44.3258,-88.1628,22,Wrightstown,
MONTERIS MEDICAL CORPORATION,MN,45.0106,-93.4553,22,Plymouth,
Sanofi Pasteur Vaxdesign Corp.,FL,28.5381,-81.3794,22,Orlando,
"Apteryx, Inc.",OH,41.0814,-81.5192,22,Akron,
Sartorius Stedim North America Inc.,NY,40.7692,-73.1156,22,Bohemia,
"Gabrielle Studio, Inc.",NY,40.7142,-74.0064,22,New York,
Kann Manufacturing Corporation,IA,42.7858,-91.0994,22,Guttenberg,
"United Sciences, LLC",GA,33.7489,-84.3881,22,Atlanta,
"Osborne Industries, Inc.",KS,39.4389,-98.6944,22,Osborne,
Jabil Inc.,FL,41.9011,-83.715,22,St. Petersburg,
"PCT International, Inc.",AZ,33.4222,-111.822,22,Mesa,
"No Longer Naked Lures, LLC",TX,32.7833,-96.8,22,Dallas,
"Chimerix, Inc.",NC,35.9939,-78.8989,22,Durham,
"Dole Fresh Vegetables, Inc.",CA,34.1458,-118.805,22,Westlake Village,
Scott Archery LLC,KY,37.8592,-83.9186,22,Clay City,
Qmotion Incorporated,FL,30.4211,-87.2169,22,Pensacola,
"MESOBLAST, INC.",NY,40.7142,-74.0064,22,New York,
"Meagan Medical, Inc.",WA,45.6389,-122.66,22,Vancouver,
American Precision Industries Inc.,PA,39.9606,-75.6058,22,West Chester,
"Simbol, Inc.",CA,37.6625,-121.874,22,Pleasanton,
Universal Electric Corporation,PA,40.2625,-80.1875,22,Canonsburg,
"Freedom Innovations, LLC",CA,33.6694,-117.822,22,Irvine,
"Acura Pharmaceuticals, Inc.",IL,42.1103,-88.0342,22,Palatine,
"International Flora Technologies, Ltd.",AZ,33.3061,-111.841,22,Chandler,
Elixir Medical Corporation,CA,37.4283,-121.906,22,Milpitas,
"Litron Laboratories, Ltd.",NY,43.1547,-77.6158,22,Rochester,
"Gradalis, Inc.",TX,32.7833,-96.8,22,Dallas,
"G1 Therapeutics, Inc.",NC,35.9939,-78.8989,22,Durham,
Magnetic Analysis Corporation,NY,40.9125,-73.8375,22,Mount Vernon,
"Paymentech, LLC",TX,32.7833,-96.8,22,Dallas,
"NJOY, Inc.",AZ,33.5092,-111.898,22,Scottsdale,
"Tusker Medical, Inc.",CA,37.4539,-122.181,22,Menlo Park,
Atlas Roofing Corporation,MS,32.3642,-88.7036,22,Meridian,
"Ascension Orthopedics, Inc.",TX,30.2669,-97.7428,22,Austin,
"Obalon Therapeutics, Inc.",CA,33.1581,-117.35,22,Carlsbad,
"DeviceFidelity, Inc.",TX,32.9481,-96.7294,22,Richardson,
Southwest Electronic Energy Corporation,TX,29.6183,-95.5375,22,Missouri City,
Verifi LLC,MA,42.375,-71.1061,22,Cambridge,
"Signature Therapeutics, Inc.",CA,37.5072,-122.259,22,San Carlos,
Neenah Foundry Company,WI,44.1858,-88.4625,22,Neenah,
"Gloucester Engineering Co., Inc.",MA,42.6269,-71.8811,22,"Blackburn Industrial Park, Gloucester",
"East Penn Manufacturing Co., Inc.",PA,40.482,-75.7577,22,Lyon Station,
"Mutualink, Inc.",CT,41.4569,-72.8236,22,Wallingford,
LoJack Corporation,MA,42.1583,-71.1453,22,Canton,
"Akustica, Inc.",PA,40.4406,-79.9961,22,Pittsburgh,
"Saxon, Inc.",MI,42.4606,-83.1347,22,Ferndale,
NEURO KINETICS,PA,40.4406,-79.9961,22,Pittsburgh,
"Singulex, Inc.",CA,37.7653,-122.241,22,Alameda,
Albert Einstein Healthcare Network,PA,39.9522,-75.1642,22,Philadelphia,
Universal Surveillance Corporation,CA,34.1064,-117.592,22,Rancho Cucamonga,
"Safe-Strap Company, Inc.",FL,26.6403,-81.8725,22,Fort Myers,
"Immersion Medical, Inc.",MD,39.1433,-77.2017,22,Gaithersburg,
"Easy Gardener, Inc.",TX,31.5492,-97.1464,22,Waco,
"Wi-LAN Labs, Inc.",CA,32.7153,-117.156,22,San Diego,
"KSR IP Holdings, LLC",DE,39.7458,-75.5469,22,Wilmington,
Browning Arms Company,UT,41.0361,-111.676,22,Morgan,
"Starlite Media, LLC",NY,40.7142,-74.0064,22,New York,
"Racine Railroad Products, Inc.",WI,43.8372,-88.9361,22,Mt. Pleasant,
"Corsair Memory, Inc.",CA,37.5483,-121.988,22,Fremont,
"Highland Instruments, Inc.",MA,42.3875,-71.1,22,Somerville,
Johnson ControlsÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬ÂSAFT Advanced Power Solutions LLC,DE,39.7458,-75.5469,22,Wilmington,
Progressive Components International Corporation,IL,42.2589,-88.1392,22,Wauconda,
"VytronUS, Inc.",CA,37.3689,-122.035,22,Sunnyvale,
"TRANSMEDICS, INC.",MA,42.6583,-71.1375,22,Andover,
"Blauer Manufacturing Company, Inc.",MA,42.3583,-71.0603,22,Boston,
"OTOY, INC.",CA,34.0522,-118.243,22,Los Angeles,
"Rockline Industries, Inc.",WI,43.7508,-87.7144,22,Sheboygan,
"Troy Industries, Inc.",MA,42.1069,-72.6208,22,West Springfield,
"Zogenix, Inc.",CA,37.8314,-122.284,22,Emeryville,
"AdValue Photonics, Inc.",AZ,32.2217,-110.926,22,Tucson,
"CALITOR SCIENCES, LLC",CA,34.1842,-118.91,22,Newbury Park,
JPW Industries Inc.,TN,36.0156,-86.5819,22,LaVergne,
Terra Compactor Wheel Corp.,WI,43.7508,-87.7144,22,Sheboygan,
"Verilux, Inc.",VT,44.19,-72.8253,22,Waitsfield,
"New Vision Gaming & Development, Inc.",MA,42.575,-71.0792,22,North Reading,
"IDAC Holdings, Inc.",DE,39.7458,-75.5469,22,Wilmington,
"Connectwise, Inc.",FL,27.9472,-82.4586,22,Tampa,
ZeaVision LLC,MO,38.6631,-90.5769,22,Chesterfield,
"Zoya, Inc.",FL,26.1219,-80.1436,22,Fort Lauderdale,
"Cognitech, Inc.",CA,34.1478,-118.144,22,Pasadena,
VIV Solutions LLC,TX,29.5819,-95.7606,22,Richmond,
"Bumble BE Holdings, LLC",CA,34.0522,-118.243,22,Los Angeles,
Wisconsin Electric Power Company,WI,43.0389,-87.9064,22,Milwaukee,
Ogosport LLC,NY,40.65,-73.95,22,Brooklyn,
"Rick Meritt Investments, Ltd.",TX,32.7286,-94.9422,22,Gilmer,
"Lochinvar, LLC",TN,36.2081,-86.2911,22,Lebanon,
"NINTHDECIMAL, INC.",CA,37.775,-122.418,22,San Francisco,
"RFAXIS, INC.",CA,33.6694,-117.822,22,Irvine,
Progeny Advanced Genetics,CA,36.6778,-121.654,22,Salinas,
"Horus Vision, LLC",CA,37.6306,-122.41,22,San Bruno,
"Alpha Metals, Inc.",NJ,40.5792,-74.4119,22,South Plainfield,
"Paragon Furniture, Inc.",TX,32.7356,-97.1078,22,Arlington,
"First Quality Nonwovens, Inc.",NY,40.8006,-73.7289,22,Great Neck,
"Crossford International, LLC",CT,41.0533,-73.5392,22,Stamford,
"Asana Biosciences, LLC",NJ,40.2972,-74.73,22,Lawrenceville,
"Command Electronics, Inc.",MI,42.1142,-85.6378,22,Schoolcraft,
"Champion Engine Technology, LLC",WI,43.1339,-88.2219,22,Sussex,
"Engineered Controls International, LLC",NC,36.1028,-79.5069,22,Elon,
"nContact Surgical, Inc.",NC,35.8233,-78.8258,22,Morrisville,
Innovalarm Corporation,OK,35.4675,-97.5161,22,Oklahoma City,
"Cascade Designs, Inc.",WA,47.6064,-122.331,22,Seattle,
Silgan Dispensing Systems Corporation,MO,38.8858,-94.5328,22,Grandview,
"TOMY INTERNATIONAL, INC.",IA,42.4844,-91.1228,22,Dyersville,
"Augusta University Research Institute, Inc.",GA,33.4708,-81.975,22,Augusta,
Spinal Simplicity LLC,KS,38.9822,-94.6706,22,Overland Park,
"Mectra Labs, Inc.",IN,39.0269,-86.9375,22,Bloomfield,
Isola USA Corp.,AZ,33.3061,-111.841,22,Chandler,
"ARTERIS, Inc.",CA,37.2872,-121.949,22,Campbell,
"Innerlite, Inc.",CA,34.4208,-119.697,22,Santa Barbara,
"Resinate Materials Group, Inc.",MI,42.3714,-83.4703,22,Plymouth,
REC Silicon Inc,WA,47.1303,-119.277,22,Moses Lake,
"Actuated Medical, Inc.",PA,40.9133,-77.7786,22,Bellefonte,
Inertech IP LLC,TX,33.0197,-96.6986,22,Plano,
Vode Lighting LLC,CA,38.2919,-122.457,22,Sonoma,
"Kirin-Amgen, Inc.",CA,34.1706,-118.837,22,Thousand Oaks,
"Quantum Materials, Inc.",NC,35.6301,-79.8064,22,,
"Global Plasma Solutions, LLC",GA,32.0833,-81.1,22,Savannah,
The Intellisis Corporation,CA,32.7153,-117.156,22,San Diego,
Dental Components LLC,OR,45.3003,-122.972,22,Newberg,
I/O Interconnect Inc.,CA,33.7456,-117.867,22,Santa Ana,
Deluxe Corporation,MN,45.0792,-93.1469,22,Shoreview,
Platte Chemical Company,CO,40.4233,-104.709,22,Greeley,
Optodot Corporation,MA,42.5455,-71.6139,22,Devens,
Town & Country Linen Corp.,NY,40.7142,-74.0064,22,New York,
"entrotech, inc.",OH,39.9611,-82.9989,22,Columbus,
"LipoScience, Inc.",NC,35.8233,-78.8258,22,Morrisville,
"ElectraLED, Inc.",FL,27.9656,-82.8003,22,Clearwater,
"SSW Holding Company, Inc.",AR,35.3858,-94.3983,22,Fort Smith,
AMPERE COMPUTING LLC,CA,37.3542,-121.954,22,Santa Clara,
"Milestone Scientific, Inc.",NJ,40.7958,-74.3153,22,Livingston,
The Cloeren Company,TX,30.0928,-93.7364,22,Orange,
"North American Lighting, Inc.",MI,42.4853,-83.3772,22,Farmington Hills,
"OrthAlign, Inc.",CA,33.6083,-117.744,22,Aliso Viejo,
"Angel Secure Networks, Inc.",ME,44.9342,-68.6458,22,Old Town,
Sesaco Corporation,TX,30.2669,-97.7428,22,Austin,
"NuWave, LLC",IL,42.2831,-87.9531,22,Libertyville,
Matscitechno Licensing Company,PA,39.8467,-75.7119,22,Kennett Square,
"Crucs Holdings, LLC",OH,41.0989,-81.6447,22,Copley,
"INTENT IQ, LLC",NY,40.7142,-74.0064,22,New York,
"RetailMeNot, Inc.",TX,30.2669,-97.7428,22,Austin,
Huntington Medical Research Institutes,CA,34.1478,-118.144,22,Pasadena,
"Midway Displays, Inc.",IL,41.7628,-87.8,22,Bedford Park,
Archemix Corp.,MA,42.375,-71.1061,22,Cambridge,
"MVRx, Inc.",CA,37.5631,-122.324,22,San Mateo,
"Deco Lav, Inc.",FL,26.3583,-80.0833,22,Boca Raton,
"Orasure Technologies, Inc.",PA,40.6258,-75.3708,22,Bethlehem,
"Calmar Optcom, Inc.",CA,37.4419,-122.142,22,Palo Alto,
Hilfiker Pipe Co.,CA,40.8022,-124.162,22,Eureka,
"RIVERPOINT MEDICAL, LLC",OR,45.5236,-122.675,22,Portland,
"Vium, Inc.",CA,37.5631,-122.324,22,San Mateo,
"Agrivida, Inc.",MA,42.4183,-71.1067,22,Medford,
"Melinta Therapeutics, Inc.",CT,41.3081,-72.9286,22,New Haven,
"Boehringer Technologies, L.P.",PA,40.1303,-75.5153,22,Phoenixville,
,CA,34.0522,-118.243,22,Los Angeles,
,NV,36.0397,-114.981,22,Henderson,
,CA,34.1397,-118.034,22,Arcadia,
"TOBY ORTHOPAEDICS, INC.",FL,25.7739,-80.1939,21,Miami,
"ADT US Holdings, Inc.",FL,26.3583,-80.0833,21,Boca Raton,
National Railroad Passenger Corporation,DC,38.895,-77.0367,21,Washington,
"Biocept, Inc.",CA,32.7153,-117.156,21,San Diego,
"Vapotherm, Inc.",NH,42.9814,-70.9483,21,Exeter,
"Skidmore, Owings & Merrill LLP",NY,40.7142,-74.0064,21,New York,
"LipoSonix, Inc.",CA,37.6689,-122.08,21,Hayward,
"OrthoAccel Technologies, Inc.",TX,29.7056,-95.4586,21,Bellaire,
"Eko Sport, Inc.",CO,39.0639,-108.55,21,Grand Junction,
"GlassPoint Solar, Inc.",CA,37.5483,-121.988,21,Fremont,
The Upper Deck Company,CA,33.1581,-117.35,21,Carlsbad,
Cambrios Technologies Corporation,CA,37.3689,-122.035,21,Sunnyvale,
"Red Wing Shoe Company, Inc.",MN,44.5625,-92.5336,21,Red Wing,
"Soane Energy, LLC",MA,42.375,-71.1061,21,Cambridge,
"ALIVECOR, INC.",CA,37.3861,-122.083,21,Mountain View,
"Vanner, Inc.",OH,40.0333,-83.1583,21,Hilliard,
"Superfeet Worldwide, Inc.",WA,48.8467,-122.59,21,Ferndale,
"Bell Biosystems, Inc.",CA,37.8717,-122.272,21,Berkeley,
QUICKSTEP TECHNOLOGIES LLC,DE,39.7458,-75.5469,21,Wilmington,
"Uniweld Products, Inc.",FL,26.1219,-80.1436,21,Fort Lauderdale,
"Agiltron, Inc.",MA,42.4792,-71.1528,21,Woburn,
"DOOSAN FUEL CELL AMERICA, INC.",CT,41.8489,-72.5722,21,South Windsor,
"AMPT, LLC",CO,40.5853,-105.084,21,Fort Collins,
"Saucony, Inc.",MA,42.3764,-71.2361,21,Waltham,
Nature Technology Corporation,NE,40.8,-96.6667,21,Lincoln,
"Industrial Revolution, Inc.",WA,47.4742,-122.26,21,Tukwila,
"Playworld Systems, Inc.",PA,40.9644,-76.8847,21,Lewisburg,
Pivotal Systems Corporation,CA,37.5483,-121.988,21,Fremont,
Actuate Corporation,CA,37.5631,-122.324,21,San Mateo,
Neptco Incorporated,RI,41.8786,-71.3831,21,Pawtucket,
"Fritz Industries, Inc.",TX,32.7833,-96.8,21,Dallas,
Malvern Panalytical Limited,MA,42.2694,-71.6167,21,Westborough,
"Cardiosolutions, Inc.",MA,42.0189,-71.0083,21,West Bridgewater,
Edw. C. Levy Co.,MI,42.3314,-83.0458,21,Detroit,
Strattec Power Access LLC,MI,42.6875,-83.2342,21,Auburn Hills,
"Fall Creek Farm and Nursery, Inc.",OR,43.9186,-122.783,21,Lowell,
"National Recovery Technologies, Inc.",TN,36.1658,-86.7844,21,Nashville,
Tindall Corporation,SC,34.9494,-81.9322,21,Spartanburg,
Benteler Automotive Corporation,MI,42.6875,-83.2342,21,Auburn Hills,
"Language Line Services, Inc.",CA,36.6003,-121.894,21,Monterey,
"Granit Medical Innovations, LLC",NY,40.7142,-74.0064,21,New York,
Astronics Corporation,NY,42.7678,-78.6136,21,East Aurora,
"Venafi, Inc.",UT,40.7608,-111.89,21,Salt Lake City,
Hypertronics Corporation,MA,42.3917,-71.5667,21,Hudson,
"Life Services, LLC",MN,44.98,-93.2636,21,Minneapolis,
"Metavention, Inc.",MN,44.8547,-93.4706,21,Eden Prairie,
"Berkeley Lights, Inc.",CA,37.8314,-122.284,21,Emeryville,
Legacy Ventures LLC,TN,36.1658,-86.7844,21,Nashville,
"M.A. Industries, Inc.",GA,33.3967,-84.5958,21,Peachtree City,
"Selecta Biosciences, Inc.",MA,42.3708,-71.1833,21,Watertown,
"Richwood Industries, Inc.",WV,38.4192,-82.4453,21,Huntington,
"Tracker Marine, L.L.C.",MO,37.2153,-93.2981,21,Springfield,
"Synrad, Inc.",WA,47.9447,-122.303,21,Mukilteo,
"B & R Plastics, Inc.",CO,39.7392,-104.984,21,Denver,
MaxSP Corporation,CA,37.3689,-122.035,21,Sunnyvale,
"PN II, Inc.",GA,33.7489,-84.3881,21,Atlanta,
"CONTINENTAL STRUCTURAL PLASTICS, INC.",MI,42.6875,-83.2342,21,Auburn Hills,
"ENVERID SYSTEMS, INC.",MA,42.2139,-71.225,21,Westwood,
"Novan, Inc.",NC,35.8233,-78.8258,21,Morrisville,
Tacony Corporation,MO,38.5131,-90.4358,21,Fenton,
"Prodea Systems, Inc.",TX,32.9481,-96.7294,21,Richardson,
"AIC Innovations Group, Inc.",NY,40.7142,-74.0064,21,New York,
BAE Systems Imaging Solutions Inc.,CA,37.3394,-121.894,21,San Jose,
"Ortho-Tain, Inc.",IL,42.1081,-87.7358,21,Winnetka,
Adalis Corporation,WA,45.6389,-122.66,21,Vancouver,
"Rooster Products International, Inc.",TX,29.4239,-98.4933,21,San Antonio,
"Enerco Group, Inc.",OH,41.4994,-81.6956,21,Cleveland,
"Aspen Surgical Products, Inc.",MI,42.7892,-85.5167,21,Caledonia,
Securitron Magnalock Corporation,AZ,33.4483,-112.073,21,Phoenix,
"Synerject, LLC",VA,36.9786,-76.4283,21,Newport News,
Kirusa Inc.,NJ,40.6983,-74.4019,21,New Providence,
"Sococo, Inc.",MA,42.3583,-71.0603,21,Boston,
"Cleveland Range, Inc.",IN,39.8878,-84.9256,21,Wayne,
Crestovo Holdings LLC,MA,42.3875,-71.1,21,Somerville,
SecuGen Corporation,CA,37.3542,-121.954,21,Santa Clara,
"Aluma-Form, Inc.",TN,35.1494,-90.0489,21,Memphis,
"Cyalume Technologies, Inc.",MA,42.1069,-72.6208,21,West Springfield,
ReVera Incorporated,CA,37.3542,-121.954,21,Santa Clara,
Markem-Imaje Corporation,NH,42.9336,-72.2786,21,Keene,
"Pompanette, Inc.",NH,43.2386,-72.425,21,Charlestown,
Stratatech Corporation,WI,43.0731,-89.4011,21,Madison,
NEXTRACKER INC.,CA,37.5483,-121.988,21,Fremont,
"Multimodal Technologies, LLC",PA,40.4406,-79.9961,21,Pittsburgh,
Eriez Manufacturing Co.,PA,42.1292,-80.0853,21,Erie,
"Meridian Medical Systems, LLC",ME,43.6614,-70.2558,21,Portland,
"Sunrise R&D Holdings, LLC",OH,39.1619,-84.4569,21,Cincinnati,
"Cable Components Group, LLC",CT,41.3772,-71.8342,21,Pawcatuck,
"Urban Airship, Inc.",OR,45.5236,-122.675,21,Portland,
Profile Products L.L.C.,IL,42.1514,-87.9597,21,Buffalo Grove,
"Advanced Cooling Technologies, Inc.",PA,40.0378,-76.3058,21,Lancaster,
"Angstrom Technologies, Inc.",KY,38.9989,-84.6267,21,Florence,
Technical Manufacturing Corporation,MA,42.5278,-70.9292,21,Peabody,
"ASCENT SOLAR TECHNOLOGIES, INC.",CO,39.8681,-104.971,21,Thornton,
Stack-On Products Co.,IL,42.2589,-88.1392,21,Wauconda,
"Wrap Media, LLC",CA,37.775,-122.418,21,San Francisco,
"J Squared, Inc.",IN,39.785,-85.7694,21,Greenfield,
"Lithocrete, Inc.",CA,33.6411,-117.918,21,Costa Mesa,
Fugoo Corporation,CA,33.6694,-117.822,21,Irvine,
Logan Clutch Corporation,OH,41.4553,-81.9181,21,Westlake,
"Contemporary, Inc.",WI,44.0886,-87.6575,21,Manitowoc,
"Ofinno, LLC",VA,38.9686,-77.3414,21,Reston,
"Interleukin Genetics, Inc.",MA,42.3764,-71.2361,21,Waltham,
Iconex LLC,GA,34.0028,-84.1447,21,Duluth,
Larry D. Miller Trust,MI,42.6806,-83.1339,21,Rochester,
"Dimex, LLC",OH,39.4153,-81.455,21,Marietta,
"Apnicure, Inc.",CA,37.4853,-122.235,21,Redwood City,
"JNT Technical Services, Inc.",NJ,40.8528,-74.0425,21,Little Ferry,
Kestrel Corporation,NM,35.0844,-106.651,21,Albuquerque,
Sound Surgical Technologies LLC,CO,39.9778,-105.131,21,Louisville,
"Essential Dental Systems, Inc.",NJ,40.8625,-74.0483,21,South Hackensack,
"Albeo Technologies, Inc.",CO,40.015,-105.27,21,Boulder,
"Intrinsic Bioprobes, Inc.",AZ,33.4147,-111.909,21,Tempe,
Carter-Hoffman Corporation,IL,42.2631,-88.0039,21,Mundelein,
"Frenchporte IP, L.L.C.",MD,38.9906,-77.0264,21,Silver Spring,
"Artesyn Embedded Computing, Inc.",AZ,33.4147,-111.909,21,Tempe,
"Euclid Discoveries, LLC",MA,42.4603,-71.3494,21,Concord,
"Ardelyx, Inc.",CA,37.5483,-121.988,21,Fremont,
Frazier Industrial Company,NJ,40.7858,-74.7806,21,Long Valley,
"CrowdStrike, Inc.",CA,33.6694,-117.822,21,Irvine,
NatureWorks LLC,MN,44.9133,-93.5031,21,Minnetonka,
"humangear, Inc.",CA,37.775,-122.418,21,San Francisco,
ADI Corporation,NY,43.1547,-77.6158,21,Rochester,
"Ansaldo STS USA, Inc.",PA,40.4406,-79.9961,21,Pittsburgh,
"Boulder Wind Power, Inc.",CO,39.9778,-105.131,21,Louisville,
"Consolidated Metco, Inc.",WA,45.6389,-122.66,21,Vancouver,
"CoolSystems, Inc.",CA,37.9781,-122.03,21,Concord,
"PACID TECHNOLOGIES, LLC",TX,30.2669,-97.7428,21,Austin,
Centurion Medical Products Corporation,MI,42.6889,-84.2831,21,Williamston,
"Ablative Solutions, Inc.",CA,37.3394,-121.894,21,San Jose,
"AERIN MEDICAL, INC.",TX,30.2669,-97.7428,21,Austin,
Fontaine Fifth Wheel Co.,AL,33.6197,-86.6089,21,Trussville,
"Link Mfg., Ltd.",IA,43.0797,-96.1753,21,Sioux Center,
"CP Manufacturing, Inc.",CA,32.7153,-117.156,21,San Diego,
"Koehler-Bright Star, Inc.",PA,40.6594,-75.3995,21,Hanover Township,
"Makino, Inc.",OH,39.36,-84.31,21,Mason,
"Plastic Components, Inc.",WI,43.2286,-88.1103,21,Germantown,
"Grote Industries, LLC",IN,38.7358,-85.38,21,Madison,
"Pflow Industries, Inc.",WI,43.0389,-87.9064,21,Milwaukee,
"Rave, LLC",FL,26.4611,-80.0731,21,Delray Beach,
"Jet, Inc.",OH,41.4994,-81.6956,21,Cleveland,
"Aeration Industries, Inc.",MN,44.7894,-93.6019,21,Chaska,
"Harris Research, Inc.",TN,36.1658,-86.7844,21,Nashville,
"Peak Completion Technologies, Inc.",TX,31.9972,-102.077,21,Midland,
"Turtle Wax, Inc.",IL,41.9317,-87.9889,21,Addison,
GTLpetrol LLC,NJ,40.8258,-74.2094,21,Montclair,
Technology Research Corporation,FL,27.9656,-82.8003,21,Clearwater,
"Zyga Technology, Inc.",MN,44.9133,-93.5031,21,Minnetonka,
Fraen Corporation,MA,42.5256,-71.0958,21,Reading,
"VMR Products, LLC",FL,25.7739,-80.1939,21,Miami,
"Giftec, Ltd.",VA,39.0061,-77.4289,21,Sterling,
"The Neat Company, Inc.",PA,39.9522,-75.1642,21,Philadelphia,
"Utopus Insights, Inc.",NY,41.0747,-73.7756,21,Valhalla,
"HGST, Inc.",CA,37.3394,-121.894,21,San Jose,
"Kaufman & Robinson, Inc.",CO,40.5853,-105.084,21,Fort Collins,
"Anagram International, Inc.",MN,44.8547,-93.4706,21,Eden Prairie,
EMISSIVE ENERGY CORP.,RI,41.55,-71.4667,21,North Kingstown,
"Crafco, Inc.",AZ,33.3061,-111.841,21,Chandler,
"HydroCision, Inc.",MA,42.5583,-71.2694,21,Billerica,
"GTJ VENTURES, LLC",NY,40.9311,-73.8992,21,Yonkers,
"SPECTRUM SPINE IP HOLDINGS, LLC",GA,33.7489,-84.3881,21,Atlanta,
Air-Cure Incorporated,MN,44.98,-93.2636,21,Minneapolis,
Arbor Vita Corporation,CA,37.5483,-121.988,21,Fremont,
"Arcturus Therapeutics, Inc.",CA,32.7153,-117.156,21,San Diego,
LBP Manufacturing LLC,IL,41.8456,-87.7539,21,Cicero,
"TomTom North America, Inc.",NH,43.6422,-72.2522,21,Lebanon,
"Formosa Plastics Corporation, U.S.A.",NJ,40.7958,-74.3153,21,Livingston,
"Waste Management, Inc.",TX,29.7631,-95.3631,21,Houston,
"A+ Manufacturing, LLC",LA,30.2383,-90.92,21,Gonzales,
"Ply Gem Industries, Inc.",NC,35.7914,-78.7814,21,Cary,
"Hensley Industries, Inc.",TX,32.7833,-96.8,21,Dallas,
"Patagonia, Inc.",CA,34.2783,-119.292,21,Ventura,
"R2 Semiconductor, Inc.",CA,37.3689,-122.035,21,Sunnyvale,
"Robertson Intellectual Properties, LLC",TX,32.5631,-97.1414,21,Mansfield,
Oscilla Power Inc.,WA,47.6064,-122.331,21,Seattle,
"Lion Copolymer Geismar, LLC",LA,30.2042,-91.0225,21,Geismar,
"YesVideo, Inc.",CA,37.3542,-121.954,21,Santa Clara,
Reel Power Licensing Corp.,OK,35.4675,-97.5161,21,Oklahoma City,
Kadant Inc.,MA,42.5792,-71.4383,21,Westford,
"EHARMONY, INC.",CA,34.0522,-118.243,21,Los Angeles,
Joy Global Surface Mining Inc,WI,43.0389,-87.9064,21,Milwaukee,
"SciClone Pharmaceuticals, Inc.",CA,37.5586,-122.27,21,Foster City,
AAR Corp.,IL,41.9633,-87.9789,21,Wood Dale,
Beam Engineering for Advanced Measurements Co.,FL,28.5381,-81.3794,21,Orlando,
The Maitland Company,SC,33.9203,-80.3417,21,Sumter,
Utility Trailer Manufacturing Company,CA,40.6444,-80.4164,21,City of Industry,
American Technical Ceramics Corporation,NY,40.8533,-73.4119,21,Huntington Station,
"Checkers Industrial Products, LLC",CO,39.9206,-105.086,21,Broomfield,
"Diamond Products, Limited",OH,41.3683,-82.1078,21,Elyria,
"BBK Tobacco & Foods, LLP",AZ,33.4483,-112.073,21,Phoenix,
Monotype Imaging Inc.,MA,42.4792,-71.1528,21,Woburn,
"Calnetix Technologies, LLC",CA,33.8583,-118.064,21,Cerritos,
"Curt Manufacturing, LLC",WI,44.8114,-91.4983,21,Eau Claire,
"TrackingPoint, Inc.",TX,30.4392,-97.6197,21,Pflugerville,
"DSA International, Inc.",MI,42.8125,-86.0186,21,Zeeland,
"SciFluor Life Sciences, Inc.",MA,42.375,-71.1061,21,Cambridge,
CoolTouch Incorporated,CA,38.7522,-121.287,21,Roseville,
"Ultimed, Inc.",MN,44.9033,-93.5661,21,Excelsior,
Selex Galileo Ltd.,VA,38.8903,-77.0844,21,Arlington,
"Roadtec, Inc.",TN,35.0456,-85.3097,21,Chattanooga,
Semantic Compaction Systems,PA,40.4406,-79.9961,21,Pittsburgh,
Natreon Inc.,NJ,40.4861,-74.4522,21,New Brunswick,
"Waddington North America, Inc.",MA,42.5997,-71.3678,21,Chelmsford,
"Neuroptics, Inc.",CA,33.6694,-117.822,21,Irvine,
The Bank of New York Mellon,NY,40.7142,-74.0064,21,New York,
"ARR-MAZ Products, L.P.",FL,27.895,-81.9736,21,Mulberry,
"Maui Jim, Inc.",IL,40.6936,-89.5889,21,Peoria,
"Dale Medical Products, Inc.",MA,42.0042,-71.3333,21,Plainville,
Porto Vinci Ltd. Limited Liability Company,DE,39.7458,-75.5469,21,Wilmington,
Plastic Dress-Up Co.,CA,34.0519,-118.046,21,South El Monte,
"Steffens Enterprises, Inc.",MI,42.7892,-85.5167,21,Caledonia,
"Access Medical Systems, Ltd.",CA,37.4419,-122.142,21,Palo Alto,
U.S. Bank National Association,OH,39.1619,-84.4569,21,Cincinnati,
Doble Engineering Company,MA,42.3708,-71.1833,21,Watertown,
Quantum Semiconductor LLC,CA,37.3394,-121.894,21,San Jose,
"Earthlite Massage Tables, Inc.",CA,33.2,-117.242,21,Vista,
"IDTP Holdings, Inc.",DE,39.7458,-75.5469,21,Wilmington,
Harbison-Walker Refractories Company,PA,40.4406,-79.9961,21,Pittsburgh,
Akzo Nobel Surface Chemistry LLC,IL,41.85,-87.65,21,Chicago,
"Biolog, Inc.",CA,37.6689,-122.08,21,Hayward,
